Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades
ICICIBANK,EQ,02-Jan-07,891.5,892,906.5,888,895.25,897.45,899.75,345636,310986114.5,-
ICICIBANK,EQ,03-Jan-07,897.45,909.75,909.75,886.35,892.5,894.55,895.07,473971,424236452.5,-
ICICIBANK,EQ,04-Jan-07,894.55,895,909,886,888,890.5,898.66,1093166,982385335.6,-
ICICIBANK,EQ,05-Jan-07,890.5,890,919,890,909,910.1,910.97,1977554,1801497156,-
ICICIBANK,EQ,08-Jan-07,910.1,917,917,897.55,905.05,906.3,905.17,1143112,1034715775,-
ICICIBANK,EQ,09-Jan-07,906.3,905.2,918,903.2,916,912.35,908.06,1977216,1795436707,-
ICICIBANK,EQ,10-Jan-07,912.35,909.95,915,872.2,885,883.85,891.44,1415339,1261683370,-
ICICIBANK,EQ,11-Jan-07,883.85,890,909.95,872.2,908,892.35,883.49,2245257,1983671392,-
ICICIBANK,EQ,12-Jan-07,892.35,915,979.8,911,965,972.3,948.64,2195695,2082930428,-
ICICIBANK,EQ,15-Jan-07,972.3,977.8,984,955,956,957.85,965.31,660076,637175708.3,-
ICICIBANK,EQ,16-Jan-07,957.85,964.85,969.95,949.1,961.7,960.05,957.94,1392225,1333663385,-
ICICIBANK,EQ,17-Jan-07,960.05,960,993.9,953,987,986.85,976.54,989916,966694021.2,-
ICICIBANK,EQ,18-Jan-07,986.85,986.85,995,960.3,972.5,971.25,980.68,1195056,1171973465,-
ICICIBANK,EQ,19-Jan-07,971.25,971.25,992,954.15,986,985.4,977.06,1012846,989609519.3,-
ICICIBANK,EQ,22-Jan-07,985.4,994.4,998.9,965,975,977.2,979.55,994572,974228641.2,-
ICICIBANK,EQ,23-Jan-07,977.2,975,979.9,955.1,962.75,964.3,966.01,1465696,1415883072,-
ICICIBANK,EQ,24-Jan-07,964.3,999,999,968.3,976,974.55,972.24,770851,749450657.1,-
ICICIBANK,EQ,25-Jan-07,974.55,988,1000,968.4,990,991.45,983.68,1021034,1004366456,-
ICICIBANK,EQ,29-Jan-07,991.45,991.45,991.45,950.3,952.95,955.95,965.92,598108,577725166.3,-
ICICIBANK,EQ,31-Jan-07,955.95,970,977,931.2,937,941.1,954.23,2110099,2013518455,-
ICICIBANK,EQ,01-Feb-07,941.1,951,957,942.35,952.9,952.55,950.09,811547,771042467.4,-
ICICIBANK,EQ,02-Feb-07,952.55,959.9,963.5,941.05,944.75,944.9,953.28,1668291,1590348004,-
ICICIBANK,EQ,05-Feb-07,944.9,959.65,959.65,938.15,948,946.8,947.45,689275,653055922.6,-
ICICIBANK,EQ,06-Feb-07,946.8,949.85,976.5,946.5,962.1,957.9,964.76,1179342,1137779061,-
ICICIBANK,EQ,07-Feb-07,957.9,961,989.9,960,981.1,983.15,974.63,1918719,1870044290,-
ICICIBANK,EQ,08-Feb-07,983.15,988,1005,980.05,998.05,999.7,995.12,1758208,1749632218,-
ICICIBANK,EQ,09-Feb-07,999.7,999,1010,981.85,990.5,996.15,996.02,1155686,1151082035,-
ICICIBANK,EQ,12-Feb-07,996.15,990.1,990.1,936.55,962,966.15,962.88,1453769,1399808060,-
ICICIBANK,EQ,13-Feb-07,966.15,960,988.9,946,955.95,955.9,972.69,1525859,1484187262,-
ICICIBANK,EQ,14-Feb-07,955.9,932.35,945,891.25,912,914.4,911.4,3141929,2863554042,-
ICICIBANK,EQ,15-Feb-07,914.4,920,954.7,917.8,948.5,949.6,942.03,1459905,1375269274,-
ICICIBANK,EQ,19-Feb-07,949.6,952.4,985.9,944.3,981,980.2,973.86,1794315,1747418284,-
ICICIBANK,EQ,20-Feb-07,980.2,985,987.8,965.1,969,969.45,973.96,934396,910064883.2,-
ICICIBANK,EQ,21-Feb-07,969.45,987,987,962.3,967,969.3,971.43,826372,802758925.7,-
ICICIBANK,EQ,22-Feb-07,969.3,974,982,938.2,950.85,946.2,961.3,2005395,1927795034,-
ICICIBANK,EQ,23-Feb-07,946.2,954.8,954.8,892.55,908,907,913.34,1795316,1639739460,-
ICICIBANK,EQ,26-Feb-07,907,913.8,923.45,876,904,904,899.21,1591987,1431537465,-
ICICIBANK,EQ,27-Feb-07,904,904,904,855.6,875.1,875.8,879.63,2534492,2229416655,-
ICICIBANK,EQ,28-Feb-07,875.8,849.8,859,801.5,824,829.5,841.39,3052888,2568654762,-
ICICIBANK,EQ,01-Mar-07,829.5,840,858.5,824,857,855.35,841.7,1081867,910602052.6,-
ICICIBANK,EQ,02-Mar-07,855.35,850,859,835.2,855.1,842.9,845.58,1781591,1506472797,-
ICICIBANK,EQ,05-Mar-07,842.9,855.5,855.5,793.25,819.7,821.55,812.02,2084550,1692689872,-
ICICIBANK,EQ,06-Mar-07,821.55,845,858.9,830,848.05,847.9,846.13,1509544,1277276170,-
ICICIBANK,EQ,07-Mar-07,847.9,882.5,882.5,818,822,828.65,843.09,1738837,1465997258,-
ICICIBANK,EQ,08-Mar-07,828.65,831,868.85,824,867.9,863,851.26,1526232,1299222279,-
ICICIBANK,EQ,09-Mar-07,863,871.65,878.7,846,859,858.6,863.47,1549962,1338341346,-
ICICIBANK,EQ,12-Mar-07,858.6,865,879.7,855.6,876.1,868.7,869.31,1680876,1461208366,-
