Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades
SBIN,EQ,02-Jan-07,1245.6,1250,1260,1243,1253,1253.55,1252.58,408144,511234526.2,-
SBIN,EQ,03-Jan-07,1253.55,1250,1269.9,1237.1,1266.45,1264.85,1262.83,682554,861952465,-
SBIN,EQ,04-Jan-07,1264.85,1270,1280,1237.25,1239.9,1243,1260.17,654440,824706011.6,-
SBIN,EQ,05-Jan-07,1243,1241,1257.85,1233.1,1247,1244.1,1245.31,696227,867017157.2,-
SBIN,EQ,08-Jan-07,1244.1,1248.8,1248.8,1207.05,1209,1213.7,1223.52,874701,1070216635,-
SBIN,EQ,09-Jan-07,1213.7,1219.85,1222.4,1171.1,1173.5,1174.9,1196.18,1503471,1798419309,-
SBIN,EQ,10-Jan-07,1174.9,1171,1176,1132.85,1134.5,1136.4,1152.78,971222,1119607939,-
SBIN,EQ,11-Jan-07,1136.4,1145,1159,1132,1156.9,1147.45,1146.29,1749734,2005697763,-
SBIN,EQ,12-Jan-07,1147.45,1162,1236.25,1160,1219.8,1225.45,1219.37,1926908,2349622965,-
SBIN,EQ,15-Jan-07,1225.45,1235,1235,1209.1,1221.4,1222.25,1222.77,803861,982938103.5,-
SBIN,EQ,16-Jan-07,1222.25,1255,1255,1204.1,1212,1209.8,1218.74,1149226,1400610233,-
SBIN,EQ,17-Jan-07,1209.8,1219,1234,1213.1,1224,1222.55,1223.6,710615,869509269.8,-
SBIN,EQ,18-Jan-07,1222.55,1226,1254,1224,1233,1229,1238.92,1233707,1528462279,-
SBIN,EQ,19-Jan-07,1229,1282.25,1282.25,1210,1218,1220.3,1223,683057,835382124.4,-
SBIN,EQ,22-Jan-07,1220.3,1218,1232,1218,1220.55,1224.55,1224.41,373526,457349394.5,-
SBIN,EQ,23-Jan-07,1224.55,1225.05,1231.75,1167,1170,1174.05,1190.43,2165026,2577310407,-
SBIN,EQ,24-Jan-07,1174.05,1174.05,1185,1149.05,1173.2,1172.55,1165.42,1138549,1326884858,-
SBIN,EQ,25-Jan-07,1172.55,1175.25,1180.95,1162.5,1177.8,1176.45,1172.15,844471,989850326.6,-
SBIN,EQ,29-Jan-07,1176.45,1190,1190,1151,1153.25,1156.15,1165.35,557183,649315477.5,-
SBIN,EQ,31-Jan-07,1156.15,1162,1180,1132.8,1137.4,1140.45,1153.65,1762083,2032830118,-
SBIN,EQ,01-Feb-07,1140.45,1158,1230,1135.7,1203.1,1203,1192.14,2491197,2969860360,-
SBIN,EQ,02-Feb-07,1203,1215,1217.45,1173.15,1177.05,1181.05,1195.02,1941456,2320081194,-
SBIN,EQ,05-Feb-07,1181.05,1176,1206.95,1170.35,1198.05,1197.05,1195.81,1262870,1510153355,-
SBIN,EQ,06-Feb-07,1197.05,1205,1210,1190.25,1190.9,1196.5,1201.12,961322,1154661010,-
SBIN,EQ,07-Feb-07,1196.5,1195,1203.8,1185.35,1195,1195.05,1195.29,1116846,1334952932,-
SBIN,EQ,08-Feb-07,1195.05,1195,1218.9,1192,1204,1205.25,1205.55,1034407,1247028670,-
SBIN,EQ,09-Feb-07,1205.25,1206,1214.7,1179.15,1196.2,1199.65,1196.44,1017998,1217978192,-
SBIN,EQ,12-Feb-07,1199.65,1199.65,1203.8,1172,1182.85,1183.7,1186.13,1135384,1346713627,-
SBIN,EQ,13-Feb-07,1183.7,1182.95,1199.5,1158.1,1176,1173.4,1185.84,1246945,1478676332,-
SBIN,EQ,14-Feb-07,1173.4,1150,1159.95,1085.2,1106,1102.3,1101.29,2204801,2428122736,-
SBIN,EQ,15-Feb-07,1102.3,1110.55,1149,1110.55,1122.05,1122.6,1120.06,1107289,1240225272,-
SBIN,EQ,19-Feb-07,1122.6,1128,1139,1120.15,1131,1132.1,1131.72,832242,941864253.9,-
SBIN,EQ,20-Feb-07,1132.1,1132.1,1144.8,1105,1106,1107.75,1122.86,668308,750413007.2,-
